,Date,Close,Open,High,Low
0,09/02/2025,96852.7,96218.7,97297.8,96369.0
1,08/02/2025,96623.3,95981.2,96862.8,95716.1
2,07/02/2025,96402.1,97460.6,96862.8,96237.1
3,06/02/2025,97467.5,97623.4,97872.2,96424.2
4,05/02/2025,97631.2,98042.5,97824.0,96510.6
5,04/02/2025,98213.4,100069.0,98890.5,97183.6
6,03/02/2025,100151.0,92749.8,101693.0,100151.0
7,02/02/2025,93027.2,99539.8,97686.0,91695.8
8,01/02/2025,100785.0,102142.0,102771.0,100748.0
9,31/01/2025,102381.0,104005.0,102771.0,102138.0
10,30/01/2025,104197.0,105498.0,105001.0,103959.0
11,29/01/2025,105361.0,102007.0,105364.0,103388.0
12,28/01/2025,102070.0,102920.0,102275.0,101342.0
13,27/01/2025,102979.0,100400.0,103362.0,101356.0
14,26/01/2025,100482.0,105153.0,103235.0,100447.0
15,25/01/2025,105214.0,104644.0,105400.0,104521.0
16,24/01/2025,104861.0,104657.0,105256.0,104390.0
17,23/01/2025,104563.0,102031.0,104719.0,102760.0
18,22/01/2025,102011.0,105580.0,103789.0,101597.0
19,21/01/2025,105559.0,102316.0,106266.0,105366.0
20,20/01/2025,102312.0,102228.0,103190.0,100193.0
21,19/01/2025,102381.0,104947.0,102733.0,99676.0
22,18/01/2025,104860.0,103581.0,105416.0,104014.0
23,17/01/2025,103429.0,101480.0,104661.0,102729.0
24,16/01/2025,101217.0,99604.9,102089.0,99956.2
25,15/01/2025,99589.9,97187.2,100812.0,99301.1
26,14/01/2025,97183.0,95120.1,97702.7,96501.9
27,13/01/2025,94984.1,94552.9,95268.4,94359.5
28,12/01/2025,94524.3,94583.6,95906.9,93902.2
29,11/01/2025,94609.7,94061.8,94694.4,94297.1
30,10/01/2025,93910.4,93771.0,94723.6,93847.8
31,09/01/2025,93724.0,94428.6,93857.3,92474.1
32,08/01/2025,94312.0,96276.6,95323.1,93527.7
33,07/01/2025,96207.2,101689.0,97266.4,96145.8
34,06/01/2025,101787.0,99469.9,102678.0,101548.0
35,05/01/2025,99318.1,98355.8,99425.4,97932.3
36,04/01/2025,98383.3,97993.8,98511.7,98048.2
37,03/01/2025,97948.5,96793.3,98297.5,97808.9
38,02/01/2025,96766.0,95664.6,97292.9,96647.7
39,01/01/2025,95886.0,93527.3,95962.4,94381.2
40,31/12/2024,93631.3,92429.3,94425.3,93470.0
41,30/12/2024,92408.6,93260.9,92863.2,92036.2
42,29/12/2024,93468.7,95157.9,94220.2,93360.1
43,28/12/2024,95097.0,94561.7,95315.4,94811.1
44,27/12/2024,94534.0,96395.4,94669.2,94124.7
45,26/12/2024,96343.7,98958.1,96553.8,95391.1
46,25/12/2024,98395.5,98019.1,99922.5,98324.0
47,24/12/2024,98263.5,94345.0,98839.7,97722.3
48,23/12/2024,94142.8,96014.2,94855.1,93566.2
49,22/12/2024,95836.2,96985.3,96487.5,93751.2
50,21/12/2024,96219.2,97585.2,97422.2,96194.9
51,20/12/2024,97570.7,97300.6,97809.8,97190.0
52,19/12/2024,97414.3,100651.0,97803.2,95995.2
53,18/12/2024,100811.0,103889.0,101269.0,98909.9
54,17/12/2024,103696.0,106504.0,106478.0,103605.0
55,16/12/2024,106484.0,104675.0,106961.0,105686.0
56,15/12/2024,104508.0,102358.0,106569.0,104296.0
57,14/12/2024,102202.0,101686.0,102834.0,101235.0
58,13/12/2024,101700.0,100003.0,102633.0,101150.0
59,12/12/2024,100051.0,100677.0,100351.0,99214.2
60,11/12/2024,100656.0,97543.2,101828.0,100345.0
61,10/12/2024,97560.2,97024.7,97622.7,95689.5
