BTC_Close,BTC_Open,BTC_High,BTC_Low,Daily Return,Monthly Return,Annual Return
10594.8,9824.1,10721.9,10590.3,0.08360095730971429,,
10544.6,10578.8,10650.4,10462.0,-0.004738173443575966,,
10754.4,10588.4,10883.8,10746.9,0.019896439883921646,,
10727.8,10866.0,10806.3,10693.7,-0.002473406233727604,,
10326.5,10722.2,10414.6,10294.8,-0.037407483360987315,,
9647.7,10306.2,9888.9,9628.2,-0.0657337917009635,,
10127.0,9704.9,10203.3,9776.6,0.04968023466732996,,
9756.4,10103.2,9947.4,9732.8,-0.03659524044633167,,
10156.1,9777.3,10232.3,9818.2,0.04096797999262036,,
9485.7,10142.1,9499.3,9401.1,-0.06600959029548736,,
9774.8,9513.1,9835.4,9697.0,0.030477455538336473,,
9544.6,9802.1,9607.5,9544.6,-0.023550353971436677,,
9678.3,9504.1,9703.9,9562.4,0.014007920709091959,,
10010.7,9692.7,10145.0,9993.1,0.034344874616410115,-0.09603402503115344,
10385.5,10024.7,10439.9,10331.9,0.037439939264986455,,
10775.8,10381.7,10785.3,10504.5,0.037581243079293225,,
10845.5,10641.0,10889.0,10810.1,0.006468197256816355,,
11389.1,10850.7,11443.7,10935.5,0.050122170485454864,,
11601.4,11410.6,11830.2,11588.7,0.018640630076125264,,
11786.2,11628.9,12291.9,11588.7,0.01592911200372371,,
11391.0,12117.7,11445.0,11300.6,-0.033530739339227345,,
11354.6,11583.0,11728.4,11146.1,-0.003195505223421935,,
10640.9,11406.1,10894.5,10554.4,-0.06285558275941039,,
10013.8,10612.1,10195.2,10013.8,-0.05893298499187105,,
10376.0,10040.1,10413.8,10253.9,0.03617008528231058,,
10416.8,10042.0,10530.9,9788.6,0.003932151117964411,,
10512.6,10532.2,10571.1,10497.4,0.00919668228246695,,
10586.0,10533.7,10596.9,10557.8,0.006982097673268184,,
10363.7,10643.7,10379.4,10302.3,-0.020999433213678365,,
10487.1,10335.5,10515.1,10461.6,0.011906944431042898,,
10361.1,10485.9,10411.9,10360.5,-0.01201476099207599,,
10408.1,10392.9,10478.0,10095.7,0.0045361978940459124,,
10080.7,10334.3,10257.5,10075.1,-0.03145626963614878,,
10109.6,10076.4,10200.7,10107.0,0.002866864404257541,,
10372.2,10132.4,10441.4,10336.7,0.025975310595869328,,
10303.3,10337.4,10355.0,10299.1,-0.006642756599371524,,
10319.0,10305.9,10360.4,10312.2,0.0015237836421342354,,
