ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-02-12,-3956.8355729562504,-5588.457164156292,7325.132583143026,-3956.8355729562504,-3956.8355729562504,5174.842047737507,5174.842047737507,5174.842047737507,92.24791258663754,92.24791258663754,92.24791258663754,5082.594135150869,5082.594135150869,5082.594135150869,0.0,0.0,0.0,1218.0064747812562
2020-02-13,-3855.548098898967,-5076.113427599083,7861.615511373324,-3855.548098898967,-3855.548098898967,5459.415519840336,5459.415519840336,5459.415519840336,-24.960411122835122,-24.960411122835122,-24.960411122835122,5484.375930963171,5484.375930963171,5484.375930963171,0.0,0.0,0.0,1603.867420941369
2020-02-14,-3754.260624841684,-4007.202481153455,8453.038414572502,-3754.260624841684,-3754.260624841684,5894.200531241202,5894.200531241202,5894.200531241202,16.335176148636698,16.335176148636698,16.335176148636698,5877.865355092566,5877.865355092566,5877.865355092566,0.0,0.0,0.0,2139.939906399518
2020-02-15,-3652.973150784401,-3711.826221263919,9190.850007118164,-3652.973150784401,-3652.973150784401,6236.731230016621,6236.731230016621,6236.731230016621,-22.51314271742134,-22.51314271742134,-22.51314271742134,6259.244372734042,6259.244372734042,6259.244372734042,0.0,0.0,0.0,2583.7580792322206
2020-02-16,-3551.6856767271183,-3315.1372575902865,9194.52820344064,-3551.6856767271183,-3551.6856767271183,6575.8155306664385,6575.8155306664385,6575.8155306664385,-49.22188915620445,-49.22188915620445,-49.22188915620445,6625.037419822644,6625.037419822644,6625.037419822644,0.0,0.0,0.0,3024.12985393932
2020-02-17,-3450.398202669835,-2825.1416703358536,9936.702647581185,-3450.398202669835,-3450.398202669835,7022.593514940001,7022.593514940001,7022.593514940001,50.411905536352364,50.411905536352364,50.411905536352364,6972.181609403649,6972.181609403649,6972.181609403649,0.0,0.0,0.0,3572.195312270166
2020-02-18,-3349.110728612551,-2689.426334740156,10325.877455589092,-3349.110728612551,-3349.110728612551,7235.786743473645,7235.786743473645,7235.786743473645,-62.299551275042376,-62.299551275042376,-62.299551275042376,7298.086294748686,7298.086294748686,7298.086294748686,0.0,0.0,0.0,3886.6760148610942
2020-02-19,-3247.8232545552687,-2420.923905557573,10871.279876379773,-3247.8232545552687,-3247.8232545552687,7692.928489507312,7692.928489507312,7692.928489507312,92.24791258647461,92.24791258647461,92.24791258647461,7600.680576920838,7600.680576920838,7600.680576920838,0.0,0.0,0.0,4445.105234952043
2020-02-20,-3146.5357804979853,-2146.23568112494,11335.863788478257,-3146.5357804979853,-3146.5357804979853,7853.4872463553465,7853.4872463553465,7853.4872463553465,-24.960411122105803,-24.960411122105803,-24.960411122105803,7878.44765747745,7878.44765747745,7878.44765747745,0.0,0.0,0.0,4706.951465857361
2020-02-21,-3045.2483064407024,-1511.4795462444663,11560.263980658476,-3045.2483064407024,-3045.2483064407024,8146.780454004542,8146.780454004542,8146.780454004542,16.335176148506225,16.335176148506225,16.335176148506225,8130.445277856036,8130.445277856036,8130.445277856036,0.0,0.0,0.0,5101.532147563839
2020-02-22,-2943.960832383419,-1035.2431295738672,11923.809324024269,-2943.960832383419,-2943.960832383419,8333.798704030298,8333.798704030298,8333.798704030298,-22.51314271731174,-22.51314271731174,-22.51314271731174,8356.31184674761,8356.31184674761,8356.31184674761,0.0,0.0,0.0,5389.837871646879
2020-02-23,-2842.673358326136,-873.9772600680974,12116.89816542638,-2842.673358326136,-2842.673358326136,8507.036336676607,8507.036336676607,8507.036336676607,-49.22188915586043,-49.22188915586043,-49.22188915586043,8556.258225832467,8556.258225832467,8556.258225832467,0.0,0.0,0.0,5664.362978350471
2020-02-24,-2741.3858842688533,-205.71144053922586,12569.796693033699,-2741.3858842688533,-2741.3858842688533,8781.457418364607,8781.457418364607,8781.457418364607,50.41190553613894,50.41190553613894,50.41190553613894,8731.045512828465,8731.045512828465,8731.045512828465,0.0,0.0,0.0,6040.071534095754
2020-02-25,-2640.09841021157,-766.0266523247336,12905.940807009936,-2640.09841021157,-2640.09841021157,8819.649967855037,8819.649967855037,8819.649967855037,-62.299551275046134,-62.299551275046134,-62.299551275046134,8881.949519130085,8881.949519130085,8881.949519130085,0.0,0.0,0.0,6179.551557643467
2020-02-26,-2538.810936154287,-6.398942723628709,12776.920852600464,-2538.810936154287,-2538.810936154287,9102.960890492284,9102.960890492284,9102.960890492284,92.24791258659809,92.24791258659809,92.24791258659809,9010.712977905685,9010.712977905685,9010.712977905685,0.0,0.0,0.0,6564.149954337998
2020-02-27,-2437.5234620970036,87.96705174148353,12878.280678498311,-2437.5234620970036,-2437.5234620970036,9094.526417296865,9094.526417296865,9094.526417296865,-24.96041112228757,-24.96041112228757,-24.96041112228757,9119.48682841915,9119.48682841915,9119.48682841915,0.0,0.0,0.0,6657.002955199861
2020-02-28,-2336.2359880397203,323.40353813961303,13085.00085286921,-2336.2359880397203,-2336.2359880397203,9227.097371538523,9227.097371538523,9227.097371538523,16.335176148375748,16.335176148375748,16.335176148375748,9210.762195390145,9210.762195390145,9210.762195390145,0.0,0.0,0.0,6890.861383498803
2020-02-29,-2234.9485139824374,646.9446512126591,13548.025129893633,-2234.9485139824374,-2234.9485139824374,9264.781768554516,9264.781768554516,9264.781768554516,-22.513142717693274,-22.513142717693274,-22.513142717693274,9287.29491127221,9287.29491127221,9287.29491127221,0.0,0.0,0.0,7029.833254572079
2020-03-01,-2133.661039925154,766.7845468153499,13471.337440688789,-2133.661039925154,-2133.661039925154,9302.802719294754,9302.802719294754,9302.802719294754,-49.22188915643936,-49.22188915643936,-49.22188915643936,9352.024608451193,9352.024608451193,9352.024608451193,0.0,0.0,0.0,7169.1416793696
2020-03-02,-2032.373565867871,831.8474706318381,13852.254877703048,-2032.373565867871,-2032.373565867871,9458.402438502319,9458.402438502319,9458.402438502319,50.41190553648953,50.41190553648953,50.41190553648953,9407.99053296583,9407.99053296583,9407.99053296583,0.0,0.0,0.0,7426.028872634448
2020-03-03,-1931.086091810588,1056.3843748926154,14049.4800044167,-1931.086091810588,-1931.086091810588,9395.94674704334,9395.94674704334,9395.94674704334,-62.2995512750499,-62.2995512750499,-62.2995512750499,9458.24629831839,9458.24629831839,9458.24629831839,0.0,0.0,0.0,7464.860655232751
2020-03-04,-1829.798617753305,909.5667952859279,14006.17764851688,-1829.798617753305,-1829.798617753305,9598.02371834881,9598.02371834881,9598.02371834881,92.2479125865075,92.2479125865075,92.2479125865075,9505.775805762303,9505.775805762303,9505.775805762303,0.0,0.0,0.0,7768.225100595505
2020-03-05,-1728.511143696022,794.9826976487163,14466.122054682359,-1728.511143696022,-1728.511143696022,9528.452095052311,9528.452095052311,9528.452095052311,-24.960411122228386,-24.960411122228386,-24.960411122228386,9553.412506174538,9553.412506174538,9553.412506174538,0.0,0.0,0.0,7799.94095135629
2020-03-06,-1627.2236696387386,1114.9398174426572,14511.073042890563,-1627.2236696387386,-1627.2236696387386,9620.099246072177,9620.099246072177,9620.099246072177,16.335176148705848,16.335176148705848,16.335176148705848,9603.764069923473,9603.764069923473,9603.764069923473,0.0,0.0,0.0,7992.875576433438
2020-03-07,-1525.9361955814554,1777.4167114250827,15177.758953526869,-1525.9361955814554,-1525.9361955814554,9636.631225523548,9636.631225523548,9636.631225523548,-22.51314271757994,-22.51314271757994,-22.51314271757994,9659.144368241126,9659.144368241126,9659.144368241126,0.0,0.0,0.0,8110.695029942092
2020-03-08,-1424.6487215241725,1404.9546890991815,14708.0093516826,-1424.6487215241725,-1424.6487215241725,9672.292568045983,9672.292568045983,9672.292568045983,-49.22188915609536,-49.22188915609536,-49.22188915609536,9721.51445720208,9721.51445720208,9721.51445720208,0.0,0.0,0.0,8247.64384652181
2020-03-09,-1323.3612474668894,2358.199147166357,15392.546983902292,-1323.3612474668894,-1323.3612474668894,9842.84590498872,9842.84590498872,9842.84590498872,50.41190553625196,50.41190553625196,50.41190553625196,9792.433999452469,9792.433999452469,9792.433999452469,0.0,0.0,0.0,8519.48465752183
2020-03-10,-1222.0737734096062,1628.6680247625686,14716.010579660282,-1222.0737734096062,-1222.0737734096062,9810.724715280767,9810.724715280767,9810.724715280767,-62.29955127505365,-62.29955127505365,-62.29955127505365,9873.02426655582,9873.02426655582,9873.02426655582,0.0,0.0,0.0,8588.650941871161
2020-03-11,-1120.7862993523233,2712.1078755127082,15067.078810068124,-1120.7862993523233,-1120.7862993523233,10056.191456853314,10056.191456853314,10056.191456853314,92.24791258663097,92.24791258663097,92.24791258663097,9963.943544266682,9963.943544266682,9963.943544266682,0.0,0.0,0.0,8935.40515750099
2020-03-12,-1019.4988252950399,2562.376611745444,15753.248730339808,-1019.4988252950399,-1019.4988252950399,10040.415012008472,10040.415012008472,10040.415012008472,-24.96041112250427,-24.96041112250427,-24.96041112250427,10065.375423130974,10065.375423130974,10065.375423130974,0.0,0.0,0.0,9020.916186713432
2020-03-13,-918.2113512377565,2732.151993881625,15867.872732102012,-918.2113512377565,-918.2113512377565,10193.365282965133,10193.365282965133,10193.365282965133,16.335176148114794,16.335176148114794,16.335176148114794,10177.030106817017,10177.030106817017,10177.030106817017,0.0,0.0,0.0,9275.153931727376
2020-03-14,-816.9238771804738,2796.1025454686387,16661.109113176568,-816.9238771804738,-816.9238771804738,10275.645377392466,10275.645377392466,10275.645377392466,-22.51314271746661,-22.51314271746661,-22.51314271746661,10298.158520109933,10298.158520109933,10298.158520109933,0.0,0.0,0.0,9458.721500211992
2020-03-15,-715.6364031231903,3121.243797763085,16071.90894843495,-715.6364031231903,-715.6364031231903,10378.35676791324,10378.35676791324,10378.35676791324,-49.221889156613614,-49.221889156613614,-49.221889156613614,10427.578657069851,10427.578657069851,10427.578657069851,0.0,0.0,0.0,9662.72036479005
2020-03-16,-614.3489290659073,3431.349552028189,16305.172845004094,-614.3489290659073,-614.3489290659073,10614.12519221308,10614.12519221308,10614.12519221308,50.41190553632053,50.41190553632053,50.41190553632053,10563.71328667676,10563.71328667676,10563.71328667676,0.0,0.0,0.0,9999.776263147172
2020-03-17,-513.061455008624,3640.3941785950997,16670.971716364005,-513.061455008624,-513.061455008624,10642.338285772905,10642.338285772905,10642.338285772905,-62.29955127498038,-62.29955127498038,-62.29955127498038,10704.637837047885,10704.637837047885,10704.637837047885,0.0,0.0,0.0,10129.27683076428
2020-03-18,-411.7739809513413,4414.031273527692,17256.298110422864,-411.7739809513413,-411.7739809513413,10940.384930518521,10940.384930518521,10940.384930518521,92.24791258646805,92.24791258646805,92.24791258646805,10848.137017932051,10848.137017932051,10848.137017932051,0.0,0.0,0.0,10528.61094956718
2020-03-19,-310.48650689405787,4105.436053644513,17096.31455655815,-310.48650689405787,-310.48650689405787,10966.808110370086,10966.808110370086,10966.808110370086,-24.960411122780144,-24.960411122780144,-24.960411122780144,10991.768521492866,10991.768521492866,10991.768521492866,0.0,0.0,0.0,10656.321603476028
2020-03-20,-209.1990328367752,4197.040095654996,16915.644553394308,-209.1990328367752,-209.1990328367752,11149.267145274407,11149.267145274407,11149.267145274407,16.335176148586058,16.335176148586058,16.335176148586058,11132.931969125819,11132.931969125819,11132.931969125819,0.0,0.0,0.0,10940.068112437631
2020-03-21,-107.91155877949177,4517.681706359614,17636.473330872144,-107.91155877949177,-107.91155877949177,11246.428008871031,11246.428008871031,11246.428008871031,-22.51314271735329,-22.51314271735329,-22.51314271735329,11268.941151588384,11268.941151588384,11268.941151588384,0.0,0.0,0.0,11138.51645009154
2020-03-22,-6.624084722208352,4379.85024550237,17559.78673697532,-6.624084722208352,-6.624084722208352,11347.875654729743,11347.875654729743,11347.875654729743,-49.22188915626962,-49.22188915626962,-49.22188915626962,11397.097543886013,11397.097543886013,11397.097543886013,0.0,0.0,0.0,11341.251570007535
2020-03-23,94.66338933507433,5657.079225504561,17943.311508423612,94.66338933507433,94.66338933507433,11565.174972166324,11565.174972166324,11565.174972166324,50.411905536107106,50.411905536107106,50.411905536107106,11514.763066630216,11514.763066630216,11514.763066630216,0.0,0.0,0.0,11659.838361501397
2020-03-24,195.95086339235775,4644.148866331948,18042.171422654905,195.95086339235775,195.95086339235775,11557.130560395286,11557.130560395286,11557.130560395286,-62.29955127506118,-62.29955127506118,-62.29955127506118,11619.430111670348,11619.430111670348,11619.430111670348,0.0,0.0,0.0,11753.081423787644
2020-03-25,297.2383374496404,5921.961905264381,18253.851062930607,297.2383374496404,297.2383374496404,11801.034862674434,11801.034862674434,11801.034862674434,92.24791258637744,92.24791258637744,92.24791258637744,11708.786950088055,11708.786950088055,11708.786950088055,0.0,0.0,0.0,12098.273200124075
2020-03-26,398.52581150692384,5900.96381694685,18496.382012279664,398.52581150692384,398.52581150692384,11755.816380680402,11755.816380680402,11755.816380680402,-24.960411122385892,-24.960411122385892,-24.960411122385892,11780.776791802786,11780.776791802786,11780.776791802786,0.0,0.0,0.0,12154.342192187327
2020-03-27,499.8132855642065,5443.3489173119015,18564.84714552507,499.8132855642065,499.8132855642065,11849.984139690685,11849.984139690685,11849.984139690685,16.33517614845558,16.33517614845558,16.33517614845558,11833.64896354223,11833.64896354223,11833.64896354223,0.0,0.0,0.0,12349.797425254892
